Station_Id,Address,Long,Lat
148,Allen St & Hester St,-73.99190759,40.71605866
150,West Thames St,-74.01713445,40.70834698
151,Lafayette Ave & Classon Ave,-73.96023854,40.68900443
152,Fulton St & Grand Ave,-73.9614583,40.68223166
154,E 53 St & Lexington Ave,-73.97069431,40.75828065
155,Carmine St & 6 Ave,-74.00214988,40.73038599
156,Washington Pl & 6 Ave,-74.00026394,40.73224119
157,Franklin Ave & Myrtle Ave,-73.958089,40.694528
159,Mercer St & Bleecker St,-73.99695094,40.72679454
160,John St & William St,-74.00722156,40.70862144
161,6 Ave & Canal St,-74.00566443,40.72243797
162,W 31 St & 7 Ave,-73.9916,40.749156
164,University Pl & E 14 St,-73.99200509,40.73492695
165,Greenwich Ave & Charles St,-74.000271,40.735238
166,Fulton St & Waverly Ave,-73.9659641,40.68317813
167,E 55 St & 2 Ave,-73.96603308,40.75797322
169,Centre St & Chambers St,-74.0046073,40.71273266
170,W 26 St & 10 Ave,-74.002950346,40.749717753
171,Broadway & Berry St,-73.96525063,40.71044554
173,Clark St & Henry St,-73.99344559,40.69760127
174,Jay St & Tech Pl,-73.987167,40.695065
175,E 5 St & Avenue C,-73.97995466,40.72299208
176,E 9 St & Avenue C,-73.97768752,40.72521311
178,Lefferts Pl & Franklin Ave,-73.9557689392,40.680342423
179,Fulton St & Clermont Ave,-73.96922273,40.68415748
180,Atlantic Ave & Furman St,-73.9999786,40.69165183
182,Pitt St & Stanton St,-73.98178024,40.71926081
183,Allen St & Rivington St,-73.98997825,40.72019576
184,Broadway & E 22 St,-73.98955109,40.7403432
185,E 2 St & 2 Ave,-73.99069656,40.72502876
186,9 Ave & W 14 St,-74.00550867,40.7405826
188,Hicks St & Montague St,-73.99595065,40.69512845
189,Henry St & Poplar St,-73.991454,40.700469
190,Market St & Cherry St,-73.99400398,40.71076228
191,DeKalb Ave & Skillman St,-73.95643107,40.6906495
193,E 6 St & Avenue D,-73.97668709,40.72228087
194,Forsyth St & Canal St,-73.99422366,40.7158155
195,Pearl St & Anchorage Pl,-73.98765762,40.70281858
197,Cumberland St & Lafayette Ave,-73.97265183,40.68753406
198,Barclay St & Church St,-74.01020234,40.71291224
199,Front St & Gold St,-73.982578,40.70224
200,Carlton Ave & Park Ave,-73.97355569,40.69580705
202,Clermont Ave & Park Ave,-73.97129668,40.69573398
203,W 59 St & 10 Ave,-73.988038,40.770513
204,W 54 St & 9 Ave,-73.98690506,40.76584941
205,West St & Chambers St,-74.01322069,40.71754834
206,Bus Slip & State St,-74.013942,40.701907
208,York St & Jay St,-73.98656928,40.7014851
209,Hanover Pl & Livingston St,-73.98263429,40.68864636
210,E 7 St & Avenue A,-73.98379855,40.72621788
212,9 Ave & W 18 St,-74.00366443,40.74317449
213,W 21 St & 6 Ave,-73.99415556,40.74173969
214,Hancock St & Bedford Ave,-73.95399026,40.68216564
215,Macon St & Nostrand Ave,-73.9500479759,40.6809833854
217,E 4 St & 2 Ave,-73.98978041,40.7262807
218,E 45 St & 3 Ave,-73.97282625,40.75255434
219,E 52 St & 2 Ave,-73.967416,40.756014
220,W 27 St & 7 Ave,-73.993915,40.746647
221,Bedford Ave & S 9th St,-73.96408963,40.70853074
223,E 10 St & Avenue A,-73.98142006,40.72740794
224,W 24 St & 7 Ave,-73.99529885,40.74487634
226,W 37 St & 10 Ave,-73.9979009,40.75660359
227,W 52 St & 9 Ave,-73.98789473,40.76461837
228,W 49 St & 8 Ave,-73.98788205,40.76227205
229,W 22 St & 8 Ave,-73.99915362,40.74475148
231,1 Ave & E 44 St,-73.96905301,40.75001986
232,E 53 St & Madison Ave,-73.97402311,40.7597108
233,Broadway & W 58 St,-73.98169333,40.76695317
235,W 20 St & 11 Ave,-74.007756,40.746745
236,S 4 St & Wythe Ave,-73.96590294,40.71285887
237,E 20 St & 2 Ave,-73.98205027,40.73587678
238,W 22 St & 10 Ave,-74.00451887,40.74691959
239,9 Ave & W 16 St,-74.00443172,40.74206539
241,Broadway & W 41 St,-73.98658032,40.75513557
242,W 25 St & 6 Ave,-73.99144871,40.74395411
243,Dean St & 4 Ave,-73.97895137,40.68312489
244,Broadway & W 55 St,-73.98192338,40.7652654
246,W 20 St & 8 Ave,-74.00004031,40.74345335
247,Grand St & Havemeyer St,-73.95698119,40.71286844
248,E 32 St & Park Ave,-73.98194829,40.7457121
250,5 Ave & E 29 St,-73.98683077,40.7451677
251,E 16 St & Irving Pl,-73.98758561,40.73524276
252,E 31 St & 3 Ave,-73.97966069,40.74394314
253,W 41 St & 8 Ave,-73.9900262,40.75640548
